SNAPSHOT_DATE,SAIL_CODE,SHIP_CODE,PACKAGE_NAME,REGION,RATE_TYPE,SAIL_DAYS,DEPARTURE_DATE,CABIN_CATEGORY,PROMO_NAME,PROMO_TYPE,CURRENCY_CODE,FARE_PER_PERSON,PORT_TAXES_SERVICES,EXTRA_ADULT,EXTRA_CHILD,DISCOUNT
Wed Oct 22 2025 01:00:00 GMT+0100 (British Summer Time),CD03251024,CD,Iconic Greek Islands - 3Nights,3DICONIC,BAR,3,Fri Oct 24 2025 01:00:00 GMT+0100 (British Summer Time),XBO,"PUBLISHED Autumn Campaign, CELESTYAL ONE","PROMO, TARIFF",AUD,1159,209,709,379,412
Wed Oct 22 2025 01:00:00 GMT+0100 (British Summer Time),CD03251024,CD,Iconic Greek Islands - 3Nights,3DICONIC,BAR,3,Fri Oct 24 2025 01:00:00 GMT+0100 (British Summer Time),SJA,"PUBLISHED Autumn Campaign, CELESTYAL ONE","PROMO, TARIFF",AUD,1719,209,709,379,646
Wed Oct 22 2025 01:00:00 GMT+0100 (British Summer Time),CD03251024,CD,Iconic Greek Islands - 3Nights,3DICONIC,CUG,3,Fri Oct 24 2025 01:00:00 GMT+0100 (British Summer Time),XD,"PUBLISHED Autumn Campaign, CELESTYAL ONE","PROMO, TARIFF",AUD,1409,209,709,379,518
Wed Oct 22 2025 01:00:00 GMT+0100 (British Summer Time),CD03251024,CD,Iconic Greek Islands - 3Nights,3DICONIC,BAR,3,Fri Oct 24 2025 01:00:00 GMT+0100 (British Summer Time),XD,"PUBLISHED Autumn Campaign, CELESTYAL ONE","PROMO, TARIFF",AUD,1409,209,709,379,518
Wed Oct 22 2025 01:00:00 GMT+0100 (British Summer Time),CD03251024,CD,Iconic Greek Islands - 3Nights,3DICONIC,BAR,3,Fri Oct 24 2025 01:00:00 GMT+0100 (British Summer Time),IB,"PUBLISHED Autumn Campaign, CELESTYAL ONE","PROMO, TARIFF",AUD,1019,209,0,0,341
Wed Oct 22 2025 01:00:00 GMT+0100 (British Summer Time),CD03251024,CD,Iconic Greek Islands - 3Nights,3DICONIC,CUG,3,Fri Oct 24 2025 01:00:00 GMT+0100 (British Summer Time),IC,"PUBLISHED Autumn Campaign, CELESTYAL ONE","PROMO, TARIFF",GBP,609,109,379,199,212
Wed Oct 22 2025 01:00:00 GMT+0100 (British Summer Time),CD03251024,CD,Iconic Greek Islands - 3Nights,3DICONIC,BAR,3,Fri Oct 24 2025 01:00:00 GMT+0100 (British Summer Time),IC,"PUBLISHED Autumn Campaign, CELESTYAL ONE","PROMO, TARIFF",GBP,609,109,379,199,212
Wed Oct 22 2025 01:00:00 GMT+0100 (British Summer Time),CD03251024,CD,Iconic Greek Islands - 3Nights,3DICONIC,BAR,3,Fri Oct 24 2025 01:00:00 GMT+0100 (British Summer Time),XC,"PUBLISHED Autumn Campaign, CELESTYAL ONE","PROMO, TARIFF",GBP,719,109,379,199,263
Wed Oct 22 2025 01:00:00 GMT+0100 (British Summer Time),CD03251024,CD,Iconic Greek Islands - 3Nights,3DICONIC,CUG,3,Fri Oct 24 2025 01:00:00 GMT+0100 (British Summer Time),IC,"PUBLISHED Autumn Campaign, CELESTYAL ONE","PROMO, TARIFF",AUD,1119,209,709,379,387
Wed Oct 22 2025 01:00:00 GMT+0100 (British Summer Time),CD03251024,CD,Iconic Greek Islands - 3Nights,3DICONIC,CUG,3,Fri Oct 24 2025 01:00:00 GMT+0100 (British Summer Time),IA,"PUBLISHED Autumn Campaign, CELESTYAL ONE","PROMO, TARIFF",EUR,559,129,439,239,191
Wed Oct 22 2025 01:00:00 GMT+0100 (British Summer Time),CD03251024,CD,Iconic Greek Islands - 3Nights,3DICONIC,BAR,3,Fri Oct 24 2025 01:00:00 GMT+0100 (British Summer Time),XB,"PUBLISHED Autumn Campaign, CELESTYAL ONE","PROMO, TARIFF",GBP,669,109,379,199,232
Wed Oct 22 2025 01:00:00 GMT+0100 (British Summer Time),CD03251024,CD,Iconic Greek Islands - 3Nights,3DICONIC,BAR,3,Fri Oct 24 2025 01:00:00 GMT+0100 (British Summer Time),XB,"PUBLISHED Autumn Campaign, CELESTYAL ONE","PROMO, TARIFF",AUD,1219,209,709,379,433
Wed Oct 22 2025 01:00:00 GMT+0100 (British Summer Time),CD03251024,CD,Iconic Greek Islands - 3Nights,3DICONIC,CUG,3,Fri Oct 24 2025 01:00:00 GMT+0100 (British Summer Time),XD,"PUBLISHED Autumn Campaign, CELESTYAL ONE","PROMO, TARIFF",EUR,869,129,439,239,321
Wed Oct 22 2025 01:00:00 GMT+0100 (British Summer Time),CD03251024,CD,Iconic Greek Islands - 3Nights,3DICONIC,CUG,3,Fri Oct 24 2025 01:00:00 GMT+0100 (British Summer Time),XB,"PUBLISHED Autumn Campaign, CELESTYAL ONE","PROMO, TARIFF",EUR,749,129,439,239,271
Wed Oct 22 2025 01:00:00 GMT+0100 (British Summer Time),CD03251024,CD,Iconic Greek Islands - 3Nights,3DICONIC,CUG,3,Fri Oct 24 2025 01:00:00 GMT+0100 (British Summer Time),XB,"PUBLISHED Autumn Campaign, CELESTYAL ONE","PROMO, TARIFF",GBP,669,109,379,199,232
Wed Oct 22 2025 01:00:00 GMT+0100 (British Summer Time),CD03251024,CD,Iconic Greek Islands - 3Nights,3DICONIC,CUG,3,Fri Oct 24 2025 01:00:00 GMT+0100 (British Summer Time),XBO,"PUBLISHED Autumn Campaign, CELESTYAL ONE","PROMO, TARIFF",USD,829,149,509,269,295
Wed Oct 22 2025 01:00:00 GMT+0100 (British Summer Time),CD03251024,CD,Iconic Greek Islands - 3Nights,3DICONIC,BAR,3,Fri Oct 24 2025 01:00:00 GMT+0100 (British Summer Time),XB,"PUBLISHED Autumn Campaign, CELESTYAL ONE","PROMO, TARIFF",USD,869,149,509,269,313
Wed Oct 22 2025 01:00:00 GMT+0100 (British Summer Time),CD03251024,CD,Iconic Greek Islands - 3Nights,3DICONIC,BAR,3,Fri Oct 24 2025 01:00:00 GMT+0100 (British Summer Time),XD,"PUBLISHED Autumn Campaign, CELESTYAL ONE","PROMO, TARIFF",EUR,869,129,439,239,321
Wed Oct 22 2025 01:00:00 GMT+0100 (British Summer Time),CD03251024,CD,Iconic Greek Islands - 3Nights,3DICONIC,CUG,3,Fri Oct 24 2025 01:00:00 GMT+0100 (British Summer Time),IB,"PUBLISHED Autumn Campaign, CELESTYAL ONE","PROMO, TARIFF",GBP,549,109,0,0,192
Wed Oct 22 2025 01:00:00 GMT+0100 (British Summer Time),CD03251024,CD,Iconic Greek Islands - 3Nights,3DICONIC,CUG,3,Fri Oct 24 2025 01:00:00 GMT+0100 (British Summer Time),XC,"PUBLISHED Autumn Campaign, CELESTYAL ONE","PROMO, TARIFF",AUD,1319,209,709,379,479
Wed Oct 22 2025 01:00:00 GMT+0100 (British Summer Time),CD03251024,CD,Iconic Greek Islands - 3Nights,3DICONIC,CUG,3,Fri Oct 24 2025 01:00:00 GMT+0100 (British Summer Time),SJA,"PUBLISHED Autumn Campaign, CELESTYAL ONE","PROMO, TARIFF",USD,1229,149,509,269,463
