PASSENGER_TYPE,LENGTH,ITINERARY_TYPE,CABIN,MARKET,CHANNEL,NEW_MARKET_ROLL_UP,OLD_OLD_MARKET_ROLL_UP,ACCOUNTING_MONTH,MASTER_VOYAGE,MASTER_DEPARTURE_DATE,PASSENGERS,PASSENGER_NIGHTS,CURRENCY,FX.1,PPPD,PPPD_EUR,GROSS_TICKET_REVENUE_LOCAL,GROSS_TICKET_REVENUE_EUR,PRE-EMB_PPPD,PRE-EMB_REVENUE_EUR,FY,BUDGET_NAME,VERSION,UNIQUE_ID,ACTUALS_CODE,EFFECTIVE_FROM,EFFECTIVE_TO,ACTIVE_RECORD_FLAG
F,3,Iconic Aegean,Inside,CYP,DMC,HOME,Home Markets,Mon Jan 03 2028 00:00:00 GMT+0000 (Greenwich Mean Time),CD03280317,17/03/2028,0,0,EUR,1,110,110,0,0,0,0,2027,Budget2025,v1,FInsideCYPDMCCD03280317Budget2025v1,FInsideCYPDMCCD03280317,Tue Jun 03 2025 08:50:38 GMT+0100 (British Summer Time),Fri Dec 31 9999 00:00:00 GMT+0000 (Greenwich Mean Time),1
G,7,Desert Days,Outside,FRA,Tour Operator,FRANCE,FRANCE,Mon Jan 03 2028 00:00:00 GMT+0000 (Greenwich Mean Time),CJ07280305,05/03/2028,0,0,EUR,1,167,167,0,0,83,0,2027,Budget2025,v1,GOutsideFRATour OperatorCJ07280305Budget2025v1,GOutsideFRATour OperatorCJ07280305,Tue Jun 03 2025 08:50:38 GMT+0100 (British Summer Time),Fri Dec 31 9999 00:00:00 GMT+0000 (Greenwich Mean Time),1
F,4,Iconic Aegean,Outside,GRC,Tour Operator,HOME,Home Markets,Mon Jan 03 2028 00:00:00 GMT+0000 (Greenwich Mean Time),CD04280327,27/03/2028,0,0,EUR,1,157,157,0,0,0,0,2027,Budget2025,v1,FOutsideGRCTour OperatorCD04280327Budget2025v1,FOutsideGRCTour OperatorCD04280327,Tue Jun 03 2025 08:50:38 GMT+0100 (British Summer Time),Fri Dec 31 9999 00:00:00 GMT+0000 (Greenwich Mean Time),1
F,3,Iconic Aegean,Deluxe,EAS,Direct,EU,ROW,Mon Jan 03 2028 00:00:00 GMT+0000 (Greenwich Mean Time),CD03280324,24/03/2028,1,4,EUR,1,398,398,1793,1793,24,109,2027,Budget2025,v1,FDeluxeEASDirectCD03280324Budget2025v1,FDeluxeEASDirectCD03280324,Tue Jun 03 2025 08:50:38 GMT+0100 (British Summer Time),Fri Dec 31 9999 00:00:00 GMT+0000 (Greenwich Mean Time),1
G,4,Iconic Aegean,Deluxe,SCN,DMC,EU,ROW,Mon Jan 03 2028 00:00:00 GMT+0000 (Greenwich Mean Time),CD04280320,20/03/2028,0,0,EUR,1,0,0,0,0,1,0,2027,Budget2025,v1,GDeluxeSCNDMCCD04280320Budget2025v1,GDeluxeSCNDMCCD04280320,Tue Jun 03 2025 08:50:38 GMT+0100 (British Summer Time),Fri Dec 31 9999 00:00:00 GMT+0000 (Greenwich Mean Time),1
F,7,Desert Days,Outside,CAN,Direct,NORAM,USA,Mon Jan 03 2028 00:00:00 GMT+0000 (Greenwich Mean Time),CJ07280305,05/03/2028,0,3,USD,0,182,166,639,581,41,146,2027,Budget2025,v1,FOutsideCANDirectCJ07280305Budget2025v1,FOutsideCANDirectCJ07280305,Tue Jun 03 2025 08:50:38 GMT+0100 (British Summer Time),Fri Dec 31 9999 00:00:00 GMT+0000 (Greenwich Mean Time),1
F,3,Iconic Aegean,Outside,AUS,DMC,AUNZ,AUS,Mon Jan 03 2028 00:00:00 GMT+0000 (Greenwich Mean Time),CD03280317,17/03/2028,1,4,AUD,0,221,133,997,600,39,178,2027,Budget2025,v1,FOutsideAUSDMCCD03280317Budget2025v1,FOutsideAUSDMCCD03280317,Tue Jun 03 2025 08:50:38 GMT+0100 (British Summer Time),Fri Dec 31 9999 00:00:00 GMT+0000 (Greenwich Mean Time),1
F,4,Iconic Aegean,Deluxe,FRA,Direct,FRANCE,FRANCE,Mon Jan 03 2028 00:00:00 GMT+0000 (Greenwich Mean Time),CD04280327,27/03/2028,0,0,EUR,1,0,0,0,0,25,0,2027,Budget2025,v1,FDeluxeFRADirectCD04280327Budget2025v1,FDeluxeFRADirectCD04280327,Tue Jun 03 2025 08:50:38 GMT+0100 (British Summer Time),Fri Dec 31 9999 00:00:00 GMT+0000 (Greenwich Mean Time),1
F,7,Desert Days,Inside,FRA,Travel Agency,FRANCE,FRANCE,Mon Jan 03 2028 00:00:00 GMT+0000 (Greenwich Mean Time),CJ07280312,12/03/2028,8,59,EUR,1,167,167,9980,9980,23,1386,2027,Budget2025,v1,FInsideFRATravel AgencyCJ07280312Budget2025v1,FInsideFRATravel AgencyCJ07280312,Tue Jun 03 2025 08:50:38 GMT+0100 (British Summer Time),Fri Dec 31 9999 00:00:00 GMT+0000 (Greenwich Mean Time),1
F,3,Iconic Aegean,Inside,RUS,Tour Operator,ROW,ROW,Mon Jan 03 2028 00:00:00 GMT+0000 (Greenwich Mean Time),CD03280324,24/03/2028,0,0,EUR,1,122,122,0,0,22,0,2027,Budget2025,v1,FInsideRUSTour OperatorCD03280324Budget2025v1,FInsideRUSTour OperatorCD03280324,Tue Jun 03 2025 08:50:38 GMT+0100 (British Summer Time),Fri Dec 31 9999 00:00:00 GMT+0000 (Greenwich Mean Time),1
